matched pairs of er	kea:1042
major component	econ:1027 auto:1079 rake:214 kea:1057 StructMineDataPipeline:473 textrank:137
genital hpv infection	econ:1098 auto:265 rake:55 kea:1019 StructMineDataPipeline:986 spacy_np:859
cumulative bcss	econ:1150 rake:335 kea:1156 StructMineDataPipeline:1102
cincinnati	econ:993 auto:492 kea:599 StructMineDataPipeline:1026 spacy_np:910 textrank:40
lh surge	econ:816 auto:148 rake:298 kea:1148 StructMineDataPipeline:1127
existing worldwide health system architecture	rake:15
alf	econ:1029 auto:842 kea:423 StructMineDataPipeline:870 spacy_np:737 textrank:501
alleles	econ:452 auto:821 kea:609 StructMineDataPipeline:259 spacy_np:401 textrank:435
neurofibromatosis	econ:1053 auto:538 kea:365 StructMineDataPipeline:459 spacy_np:413 textrank:479
reversibility	econ:1030 auto:606 kea:976 StructMineDataPipeline:433 spacy_np:488 textrank:527
messenger rna	econ:520 auto:47 rake:222 kea:825 StructMineDataPipeline:846 spacy_np:758
renal biopsy specimens	econ:793 auto:319 rake:65 kea:735 StructMineDataPipeline:555 spacy_np:548
non-insulin-dependent diabetes	econ:2 kea:370 StructMineDataPipeline:204 spacy_np:593
acute inferior mi	econ:1128 rake:79 kea:1152 StructMineDataPipeline:1104 spacy_np:1023
cerivastatin	econ:591 auto:601 kea:265 StructMineDataPipeline:556 spacy_np:479 textrank:549
the 2-segmental l4-l5 l5-s1 disc fusion	spacy_np:992
meditation	econ:1031 auto:656 kea:262 StructMineDataPipeline:867 spacy_np:742 textrank:563
fundaci la marat	econ:844 kea:1122 StructMineDataPipeline:1061
iuds	econ:422 auto:548 kea:317 StructMineDataPipeline:460 spacy_np:414 textrank:142
scs	econ:524 auto:725 kea:836 StructMineDataPipeline:913 spacy_np:817 textrank:550
mycobacterium fortuitum	econ:897 auto:56 rake:273 kea:943 StructMineDataPipeline:1027 spacy_np:911
visual analogue	econ:5 auto:248 kea:962 textrank:750
australian e-health research	econ:868 kea:644
editors	econ:995 auto:401 kea:43 StructMineDataPipeline:458 spacy_np:446 textrank:143
3 68 95 ci	rake:28 spacy_np:1071
cytosol	econ:938 auto:975 kea:631 StructMineDataPipeline:649 spacy_np:1024 textrank:571
hyperthermia	econ:1032 auto:244 kea:364 StructMineDataPipeline:379 spacy_np:377 textrank:508
h-reflex	econ:1116 kea:1094 StructMineDataPipeline:1079 spacy_np:1072
monocytes	econ:337 auto:631 kea:386 StructMineDataPipeline:170 spacy_np:147 textrank:152
cd19 car	econ:759 rake:270 kea:778 StructMineDataPipeline:1129
both cytoplasmic and nuclear levels	spacy_np:1025
carcinoma patients	econ:37 auto:1096 rake:284 kea:919 StructMineDataPipeline:1081 textrank:537
westmead	econ:507 auto:665 kea:1117 StructMineDataPipeline:1105 spacy_np:1026 textrank:764
hormone replacement therapy hrt	econ:936 auto:63 rake:18 StructMineDataPipeline:725 spacy_np:616
leukocytes	econ:595 auto:750 kea:461 StructMineDataPipeline:256 spacy_np:252 textrank:362
breathing	econ:565 auto:615 kea:465 StructMineDataPipeline:465 spacy_np:368 textrank:381
benzodiazepines	econ:673 auto:507 kea:614 StructMineDataPipeline:274 spacy_np:287 textrank:360
alb	econ:680 auto:522 kea:519 StructMineDataPipeline:1057 spacy_np:1015 textrank:748
atherothrombosis	econ:935 auto:804 kea:521 StructMineDataPipeline:569 spacy_np:474
fak	econ:845 auto:921 kea:400 StructMineDataPipeline:1077 spacy_np:955 textrank:574
royal melbourne hospital	econ:727 auto:122 rake:115 kea:1006 StructMineDataPipeline:807 spacy_np:993
polaris-1	econ:769 kea:1064 StructMineDataPipeline:1130 spacy_np:1073
lynch	econ:515 auto:724 kea:846 StructMineDataPipeline:1043 spacy_np:1018
several noninvasive techniques developed	rake:33
surgeon	econ:698 auto:546 kea:438 StructMineDataPipeline:224 spacy_np:581 textrank:405
american subjects with chest	kea:1065
beta tgf	econ:873 rake:299 kea:1157
tudca	econ:1138 kea:1162 StructMineDataPipeline:1106 spacy_np:1027
the following case report	spacy_np:969
70 2 per 1000 person	rake:2
proportional hazards regression	econ:10 auto:768 kea:971 StructMineDataPipeline:1131 textrank:792
2316 patients	rake:308 spacy_np:1028
scandinavia	econ:702 auto:930 kea:987 StructMineDataPipeline:906 spacy_np:771
gender	econ:879 auto:313 kea:321 StructMineDataPipeline:103 spacy_np:61 textrank:410
trc	econ:1161 auto:1016 kea:1133 StructMineDataPipeline:1056 spacy_np:956 textrank:773
block rbbb	econ:911 kea:1092
cmc	econ:1159 auto:966 kea:607 StructMineDataPipeline:1099 spacy_np:1019 textrank:724
cma	econ:1033 auto:871 kea:483 StructMineDataPipeline:825 spacy_np:783 textrank:217
el tor	econ:764 auto:2 kea:550 StructMineDataPipeline:1063 spacy_np:1074
cells vecs	econ:777 kea:1161
recipient lymphocytes towards donor strain	rake:16 StructMineDataPipeline:1132
southern denmark	econ:842 rake:349 kea:1067 StructMineDataPipeline:1075 spacy_np:957
ucb banking	econ:1158 rake:338 kea:951 StructMineDataPipeline:1080 spacy_np:1029
mucosal damage	econ:148 auto:166 rake:199 kea:570 StructMineDataPipeline:709 spacy_np:642
breast-conserving surgery	econ:791 kea:736 StructMineDataPipeline:474 spacy_np:408
lateral lnm	econ:1139 auto:181 rake:111 kea:1153 StructMineDataPipeline:987 spacy_np:914
cytomegalovirus	econ:14 auto:393 kea:304 StructMineDataPipeline:207 spacy_np:152 textrank:389
states hospitals	econ:667 kea:1129 textrank:691
ceramide	econ:820 auto:720 kea:651 StructMineDataPipeline:811 spacy_np:627 textrank:373
fragment length polymorphism	econ:15 auto:624 rake:119 kea:1002 textrank:751
nosocomial pneumonia	econ:723 auto:136 rake:120 kea:787 StructMineDataPipeline:475 spacy_np:402
amoebiasis	econ:594 auto:447 kea:136 StructMineDataPipeline:658 spacy_np:594 textrank:12
